Product,Country,Quantity,Avg_UnitPrice,AlertFlag
16 PIECE CUTLERY SET PANTRY DESIGN,Italy,4,15.95,OK
16 PIECE CUTLERY SET PANTRY DESIGN,Malta,2,15.95,OK
16 PIECE CUTLERY SET PANTRY DESIGN,Netherlands,24,12.5,OK
16 PIECE CUTLERY SET PANTRY DESIGN,Switzerland,26,14.225,OK
16 PIECE CUTLERY SET PANTRY DESIGN,United Kingdom,112,15.848529411764707,OK
18PC WOODEN CUTLERY SET DISPOSABLE,EIRE,128,1.25,OK
18PC WOODEN CUTLERY SET DISPOSABLE,France,32,1.25,OK
18PC WOODEN CUTLERY SET DISPOSABLE,United Kingdom,342,1.2383333333333333,OK
18PC WOODEN CUTLERY SET DISPOSABLE,Unspecified,1,1.25,OK
2 DAISIES HAIR COMB,EIRE,6,2.95,OK
2 PICTURE BOOK EGGS EASTER BUNNY,EIRE,4,1.25,OK
2 PICTURE BOOK EGGS EASTER BUNNY,Germany,12,1.25,OK
2 PICTURE BOOK EGGS EASTER BUNNY,United Kingdom,142,1.25,OK
2 PICTURE BOOK EGGS EASTER CHICKS,Germany,12,1.25,OK
2 PICTURE BOOK EGGS EASTER CHICKS,United Kingdom,149,1.25,OK
2 PICTURE BOOK EGGS EASTER DUCKS,EIRE,4,1.25,OK
2 PICTURE BOOK EGGS EASTER DUCKS,United Kingdom,111,1.25,OK
20 DOLLY PEGS RETROSPOT,Australia,24,1.25,OK
20 DOLLY PEGS RETROSPOT,Cyprus,12,1.25,OK
20 DOLLY PEGS RETROSPOT,Denmark,36,1.35,OK
20 DOLLY PEGS RETROSPOT,EIRE,88,1.375,OK
20 DOLLY PEGS RETROSPOT,Finland,12,1.45,OK
20 DOLLY PEGS RETROSPOT,France,41,1.35,OK
20 DOLLY PEGS RETROSPOT,Germany,64,1.3,OK
20 DOLLY PEGS RETROSPOT,Israel,12,1.45,OK
20 DOLLY PEGS RETROSPOT,Italy,12,1.45,OK
20 DOLLY PEGS RETROSPOT,Japan,97,1.155,OK
20 DOLLY PEGS RETROSPOT,Netherlands,169,1.35,OK
20 DOLLY PEGS RETROSPOT,Norway,48,1.25,OK
20 DOLLY PEGS RETROSPOT,Poland,36,1.3833333333333335,OK
20 DOLLY PEGS RETROSPOT,Portugal,24,1.35,OK
20 DOLLY PEGS RETROSPOT,Spain,24,1.35,OK
20 DOLLY PEGS RETROSPOT,United Kingdom,1669,1.3579870129870129,OK
200 BENDY SKULL STRAWS,Belgium,12,1.25,OK
200 BENDY SKULL STRAWS,Germany,12,1.25,OK
200 BENDY SKULL STRAWS,Switzerland,12,1.25,OK
200 BENDY SKULL STRAWS,United Kingdom,602,1.2353846153846153,OK
200 RED + WHITE BENDY STRAWS,Belgium,12,1.25,OK
200 RED + WHITE BENDY STRAWS,EIRE,2,1.25,OK
200 RED + WHITE BENDY STRAWS,France,24,1.25,OK
200 RED + WHITE BENDY STRAWS,Germany,60,1.25,OK
200 RED + WHITE BENDY STRAWS,Netherlands,25,1.25,OK
200 RED + WHITE BENDY STRAWS,Norway,96,1.25,OK
200 RED + WHITE BENDY STRAWS,Spain,12,1.25,OK
200 RED + WHITE BENDY STRAWS,Switzerland,12,1.25,OK
200 RED + WHITE BENDY STRAWS,United Kingdom,517,1.2464814814814815,OK
200 RED + WHITE BENDY STRAWS,Unspecified,1,1.25,OK
3 BIRDS CANVAS SCREEN,United Kingdom,2,1.02,OK
3 BLACK CATS W HEARTS BLANK CARD,United Kingdom,24,0.19000000000000003,OK
3 DRAWER ANTIQUE WHITE WOOD CABINET,EIRE,16,8.95,OK
3 DRAWER ANTIQUE WHITE WOOD CABINET,Germany,12,8.95,OK
3 DRAWER ANTIQUE WHITE WOOD CABINET,Spain,12,8.15,OK
3 DRAWER ANTIQUE WHITE WOOD CABINET,United Kingdom,675,8.917472527472526,OK
3 GARDENIA MORRIS BOXED CANDLES,Finland,4,4.25,OK
3 GARDENIA MORRIS BOXED CANDLES,Italy,4,4.25,OK
3 GARDENIA MORRIS BOXED CANDLES,Switzerland,4,4.25,OK
3 GARDENIA MORRIS BOXED CANDLES,United Kingdom,480,2.1683561643835616,OK
3 HEARTS HANGING DECORATION RUSTIC,EIRE,16,2.95,OK
3 HEARTS HANGING DECORATION RUSTIC,Netherlands,400,2.6833333333333336,OK
3 HEARTS HANGING DECORATION RUSTIC,United Kingdom,2479,2.9792830188679247,OK
3 HOOK HANGER MAGIC GARDEN,Australia,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,Czech Republic,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,EIRE,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,France,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,Germany,336,1.93,OK
3 HOOK HANGER MAGIC GARDEN,Israel,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,Japan,72,1.95,OK
3 HOOK HANGER MAGIC GARDEN,Malta,12,1.95,OK
3 HOOK HANGER MAGIC GARDEN,Netherlands,776,1.7357142857142855,OK
3 HOOK HANGER MAGIC GARDEN,Spain,1,1.95,OK
3 HOOK HANGER MAGIC GARDEN,United Kingdom,360,1.940909090909091,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Channel Islands,6,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,EIRE,22,8.358333333333333,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Germany,34,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Israel,2,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Norway,4,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Poland,6,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,Spain,2,8.5,OK
3 HOOK PHOTO SHELF ANTIQUE WHITE,United Kingdom,1647,8.35764705882353,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Austria,6,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Belgium,6,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Denmark,24,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,EIRE,152,2.016666666666667,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,France,96,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Germany,198,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Netherlands,588,1.9333333333333336,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Norway,30,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Portugal,6,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Spain,10,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Sweden,6,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,Switzerland,18,2.1,OK
3 PIECE SPACEBOY COOKIE CUTTER SET,United Kingdom,1374,2.1462753036437245,OK
3 PINK HEN+CHICKS IN BASKET,United Kingdom,12,1.25,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,EIRE,60,1.1125,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,France,10,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,Germany,30,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,Netherlands,10,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,Spain,10,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,Sweden,10,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,USA,10,0.79,OK
3 RAFFIA RIBBONS 50'S CHRISTMAS ,United Kingdom,1652,0.9044354838709678,OK
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,EIRE,30,1.435,OK
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Netherlands,10,0.79,OK
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,Sweden,10,0.79,OK
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,United Kingdom,629,0.8843902439024391,OK
3 ROSE MORRIS BOXED CANDLES,EIRE,24,1.25,OK
3 ROSE MORRIS BOXED CANDLES,Italy,4,4.25,OK
3 ROSE MORRIS BOXED CANDLES,Malta,24,1.25,OK
3 ROSE MORRIS BOXED CANDLES,Spain,24,1.25,OK
3 ROSE MORRIS BOXED CANDLES,Switzerland,4,4.25,OK
3 ROSE MORRIS BOXED CANDLES,United Kingdom,992,1.758905109489051,OK
3 STRIPEY MICE FELTCRAFT,Australia,201,1.75,OK
3 STRIPEY MICE FELTCRAFT,Channel Islands,24,1.8499999999999999,OK
3 STRIPEY MICE FELTCRAFT,Cyprus,3,1.95,OK
3 STRIPEY MICE FELTCRAFT,EIRE,48,1.95,OK
3 STRIPEY MICE FELTCRAFT,France,3,1.95,OK
3 STRIPEY MICE FELTCRAFT,Germany,26,1.95,OK
3 STRIPEY MICE FELTCRAFT,Italy,12,1.95,OK
3 STRIPEY MICE FELTCRAFT,Netherlands,160,1.6499999999999997,OK
3 STRIPEY MICE FELTCRAFT,Portugal,6,1.95,OK
3 STRIPEY MICE FELTCRAFT,Spain,12,1.95,OK
3 STRIPEY MICE FELTCRAFT,United Kingdom,2421,1.9697916666666666,OK
3 STRIPEY MICE FELTCRAFT,Unspecified,7,1.95,OK
3 TIER CAKE TIN GREEN AND CREAM,Australia,32,12.75,OK
3 TIER CAKE TIN GREEN AND CREAM,Cyprus,2,14.95,OK
3 TIER CAKE TIN GREEN AND CREAM,EIRE,94,13.575,OK
3 TIER CAKE TIN GREEN AND CREAM,European Community,1,14.95,OK
3 TIER CAKE TIN GREEN AND CREAM,Germany,1,14.95,OK
3 TIER CAKE TIN GREEN AND CREAM,Spain,1,14.95,OK
3 TIER CAKE TIN GREEN AND CREAM,Switzerland,1,14.95,OK
3 TIER CAKE TIN GREEN AND CREAM,United Kingdom,231,15.045322580645161,ALERTA
3 TIER CAKE TIN GREEN AND CREAM,Unspecified,1,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Australia,48,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Belgium,1,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Cyprus,2,14.95,OK
3 TIER CAKE TIN RED AND CREAM,EIRE,331,13.238888888888889,ALERTA
3 TIER CAKE TIN RED AND CREAM,European Community,2,14.95,OK
3 TIER CAKE TIN RED AND CREAM,France,4,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Germany,1,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Italy,1,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Spain,2,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Sweden,8,14.95,OK
3 TIER CAKE TIN RED AND CREAM,Switzerland,1,14.95,OK
3 TIER CAKE TIN RED AND CREAM,United Kingdom,250,14.851238938053095,ALERTA
3 TIER CAKE TIN RED AND CREAM,Unspecified,1,14.95,OK
3 TIER SWEETHEART GARDEN SHELF,EIRE,1,35.95,OK
3 TIER SWEETHEART GARDEN SHELF,Germany,1,35.95,OK
3 TIER SWEETHEART GARDEN SHELF,Israel,1,35.95,OK
3 TIER SWEETHEART GARDEN SHELF,United Kingdom,52,35.65,OK
3 TRADITIONAL COOKIE CUTTERS  SET,EIRE,144,1.85,OK
3 TRADITIONAL COOKIE CUTTERS  SET,United Kingdom,18,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Belgium,18,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Denmark,12,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,EIRE,60,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,France,36,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Germany,24,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Italy,6,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Norway,12,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Spain,20,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Sweden,6,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,Switzerland,6,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,USA,2,2.1,OK
3 TRADITIONAl BISCUIT CUTTERS  SET,United Kingdom,954,2.1314044943820223,OK
3 WHITE CHOC MORRIS BOXED CANDLES,EIRE,24,1.25,OK
3 WHITE CHOC MORRIS BOXED CANDLES,Malta,4,4.25,OK
3 WHITE CHOC MORRIS BOXED CANDLES,Spain,30,1.25,OK
3 WHITE CHOC MORRIS BOXED CANDLES,United Kingdom,826,2.083707865168539,OK
3 WICK CHRISTMAS BRIAR CANDLE ,United Kingdom,2,3.75,OK
36 DOILIES DOLLY GIRL,Belgium,12,1.45,OK
36 DOILIES DOLLY GIRL,France,36,1.45,OK
36 DOILIES DOLLY GIRL,Germany,36,1.45,OK
36 DOILIES DOLLY GIRL,Norway,12,1.45,OK
36 DOILIES DOLLY GIRL,Spain,24,1.45,OK
36 DOILIES DOLLY GIRL,Sweden,288,1.45,OK
36 DOILIES DOLLY GIRL,Switzerland,24,1.45,OK
36 DOILIES DOLLY GIRL,USA,12,1.45,OK
36 DOILIES DOLLY GIRL,United Kingdom,461,1.45,OK
36 DOILIES VINTAGE CHRISTMAS,Australia,288,1.25,OK
36 DOILIES VINTAGE CHRISTMAS,Channel Islands,36,1.45,OK
36 DOILIES VINTAGE CHRISTMAS,EIRE,1356,1.375,OK
36 DOILIES VINTAGE CHRISTMAS,France,12,1.45,OK
36 DOILIES VINTAGE CHRISTMAS,Spain,12,1.45,OK
36 DOILIES VINTAGE CHRISTMAS,Sweden,144,1.45,OK
