Week,ProductLine,Country,TotalUnits,AvgPrice,Alerta
3,Others,France,1404,3.426230769230769,
3,Others,Germany,721,3.478181818181818,
3,Others,Italy,125,4.640909090909091,
3,Others,Netherlands,11442,2.1819402985074627,
3,Others,Poland,288,3.8415999999999997,
3,Others,Portugal,1216,3.171666666666667,
3,Others,Spain,321,3.193877551020408,
3,Others,Switzerland,2421,2.704778761061947,
3,Others,United Kingdom,109064,3.073,
3,Planes,United Kingdom,80,2.27,
4,Classic Cars,Australia,4,6.75,
4,Classic Cars,EIRE,159,7.502857142857143,
4,Classic Cars,Germany,216,0.7176470588235294,
4,Classic Cars,Iceland,12,2.95,
4,Classic Cars,Lebanon,12,2.55,
4,Classic Cars,Singapore,156,0.7766666666666667,
4,Classic Cars,Spain,48,1.432,
4,Classic Cars,Sweden,180,1.25,
4,Classic Cars,Switzerland,36,0.42,
4,Classic Cars,United Kingdom,1585,1.2792465753424658,
4,Others,Australia,106,4.474210526315789,
4,Others,Belgium,108,5.654375,
4,Others,Channel Islands,259,6.116,
4,Others,EIRE,733,4.109999999999999,
4,Others,Finland,601,7.001666666666666,
4,Others,France,660,4.563114754098361,
4,Others,Germany,3234,2.9813168724279837,
4,Others,Greece,526,6.4809375,
4,Others,Iceland,295,2.373846153846154,
4,Others,Italy,228,3.7807692307692307,
4,Others,Lebanon,374,5.452045454545455,
4,Others,Portugal,237,4.098,
4,Others,Singapore,935,4.924716981132075,
4,Others,Spain,699,4.446161616161616,
4,Others,Sweden,2624,2.5984210526315787,
4,Others,Switzerland,304,3.7909677419354844,
4,Others,United Kingdom,43782,3.2380950314601864,
4,Planes,Iceland,8,4.25,
4,Planes,United Kingdom,9,3.91,
5,Classic Cars,Austria,20,1.65,
5,Classic Cars,EIRE,1,50.0,
5,Classic Cars,France,48,0.42,
5,Classic Cars,Germany,20,2.53,
5,Classic Cars,Spain,24,0.42,
5,Classic Cars,United Kingdom,2272,1.349645390070922,
5,Others,Austria,322,5.448,
5,Others,Belgium,21,10.741666666666667,
5,Others,EIRE,803,4.322604166666666,
5,Others,France,2959,3.0525581395348835,
5,Others,Germany,1615,4.273468208092485,
5,Others,Japan,37,1.2316216216216216,
5,Others,Netherlands,230,3.651904761904762,
5,Others,Norway,197,3.841176470588235,
5,Others,Poland,98,4.4,
5,Others,Spain,340,5.097619047619047,
5,Others,Sweden,250,5.2425,
5,Others,Switzerland,211,6.335384615384616,
5,Others,United Kingdom,55610,3.0873648648648646,
5,Planes,EIRE,4,4.25,
5,Planes,United Kingdom,34,2.25,
6,Classic Cars,Cyprus,12,0.85,
6,Classic Cars,France,80,0.16,
6,Classic Cars,Japan,144,0.36,
6,Classic Cars,Netherlands,360,0.36,
6,Classic Cars,Poland,4,3.95,
6,Classic Cars,United Kingdom,1671,1.6141891891891893,
6,Others,Australia,79,3.96,
6,Others,Belgium,273,4.403684210526316,
6,Others,Cyprus,482,9.828901098901099,
6,Others,France,891,2.7409433962264154,
6,Others,Germany,1027,3.850459770114943,
6,Others,Japan,2818,2.4978260869565214,
6,Others,Netherlands,766,2.9829999999999997,
6,Others,Poland,195,1.386111111111111,
6,Others,Spain,287,4.59825,
6,Others,United Kingdom,38408,3.1620346579025993,
6,Planes,United Kingdom,42,2.75,
7,Classic Cars,Australia,288,0.36,
7,Classic Cars,Belgium,22,1.45,
7,Classic Cars,Cyprus,16,3.95,
7,Classic Cars,Denmark,12,1.25,
7,Classic Cars,EIRE,16,26.15,
7,Classic Cars,France,48,0.42,
7,Classic Cars,Germany,34,1.3833333333333335,
7,Classic Cars,United Kingdom,2519,0.9614634146341463,
7,Motorcycles,United Kingdom,3,1.25,
7,Others,Australia,8096,2.8508955223880594,
7,Others,Belgium,486,3.314516129032258,
7,Others,Channel Islands,935,2.622,
7,Others,Cyprus,1507,2.5115000000000003,
7,Others,Denmark,198,3.245625,
7,Others,EIRE,3473,2.8075982532751094,
7,Others,France,1711,2.43256,
7,Others,Germany,913,3.4033928571428573,
7,Others,Israel,286,2.925,
7,Others,Italy,111,4.115384615384615,
7,Others,Norway,98,4.556666666666667,
7,Others,Spain,219,4.036153846153846,
7,Others,United Arab Emirates,496,2.5856666666666666,
7,Others,United Kingdom,55292,3.0339451233571593,
7,Planes,Denmark,14,3.5833333333333335,
7,Planes,United Kingdom,182,2.2262500000000003,
8,Classic Cars,France,96,0.42,
8,Classic Cars,Germany,24,0.42,
8,Classic Cars,Netherlands,1020,0.7615384615384614,
8,Classic Cars,United Kingdom,3719,1.1286666666666667,
8,Others,Australia,217,3.44,
8,Others,Belgium,285,2.7456,
8,Others,Cyprus,174,17.150454545454547,
8,Others,EIRE,668,5.871333333333333,
8,Others,Finland,141,4.539166666666667,
8,Others,France,671,3.6408196721311477,
8,Others,Germany,1681,3.7900000000000005,
8,Others,Netherlands,14128,2.1757333333333335,
8,Others,Portugal,454,3.7402325581395353,
8,Others,Saudi Arabia,80,2.351111111111111,
8,Others,Switzerland,626,4.5253571428571435,
8,Others,United Kingdom,55954,3.248689407540395,
8,Planes,United Kingdom,60,2.307142857142857,
9,Classic Cars,Australia,1008,0.36,
9,Classic Cars,Czech Republic,12,1.25,
9,Classic Cars,EIRE,125,4.986666666666666,
9,Classic Cars,Finland,167,1.3716666666666668,
9,Classic Cars,France,48,0.42,
9,Classic Cars,Germany,12,0.85,
9,Classic Cars,Spain,24,1.25,
9,Classic Cars,Switzerland,30,1.65,
9,Classic Cars,United Kingdom,1965,1.0235233160621762,
9,Motorcycles,Australia,36,1.06,
9,Motorcycles,United Kingdom,21,1.25,
9,Others,Australia,9228,3.5204166666666667,
9,Others,Austria,53,12.0725,
9,Others,Belgium,308,5.749574468085107,
9,Others,Channel Islands,459,3.572307692307692,
9,Others,Czech Republic,334,1.9742857142857144,
9,Others,EIRE,1401,2.914927536231884,
9,Others,Finland,1960,4.70978021978022,
9,Others,France,1657,3.5665,
9,Others,Germany,908,3.2717073170731705,
9,Others,Greece,289,1.622272727272727,
9,Others,Italy,84,7.8438888888888885,
9,Others,Japan,9,5.0249999999999995,
9,Others,Norway,29,112.66875,
9,Others,Portugal,104,4.010714285714285,
9,Others,Spain,373,4.006363636363637,
9,Others,Switzerland,240,4.011666666666667,
9,Others,United Kingdom,44827,3.311339982653946,
9,Planes,Belgium,4,4.25,
9,Planes,United Kingdom,53,2.5,
10,Classic Cars,Channel Islands,70,0.625,
10,Classic Cars,EIRE,83,17.456666666666667,
10,Classic Cars,France,12,0.85,
10,Classic Cars,Germany,38,2.0025,
10,Classic Cars,Japan,5,0.42000000000000004,
10,Classic Cars,Portugal,296,0.57375,
10,Classic Cars,United Kingdom,2285,1.6694791666666668,
10,Others,Australia,90,2.5300000000000002,
10,Others,Channel Islands,1575,3.3586131386861315,
10,Others,Cyprus,1005,2.5247916666666668,
10,Others,EIRE,3335,57.70225806451613,
10,Others,France,498,3.9978378378378374,
10,Others,Germany,1375,3.831111111111111,
10,Others,Japan,7,1.9928571428571427,
10,Others,Netherlands,277,2.8359259259259257,
10,Others,Portugal,813,2.266875,
10,Others,Sweden,144,0.85,
10,Others,Switzerland,314,10.955,
10,Others,United Kingdom,51424,3.264210981409425,
10,Planes,United Kingdom,43,3.3499999999999996,
11,Classic Cars,EIRE,94,17.37,
11,Classic Cars,France,12,0.42,
11,Classic Cars,Germany,48,0.6966666666666667,
11,Classic Cars,Italy,10,1.65,
11,Classic Cars,Sweden,72,1.25,
11,Classic Cars,United Kingdom,2553,1.2697142857142856,
11,Others,Belgium,306,3.966666666666667,
11,Others,Canada,88,2.0629999999999997,
11,Others,Denmark,879,6.4321052631578945,
11,Others,EIRE,2771,3.74593984962406,
11,Others,Finland,63,9.265,
11,Others,France,1075,3.46025,
11,Others,Germany,2083,3.952051282051282,
11,Others,Italy,430,3.3298,
11,Others,Netherlands,152,5.18875,
11,Others,Norway,63,2.3842857142857143,
11,Others,Poland,162,3.4355555555555553,
11,Others,Spain,393,5.541525423728813,
11,Others,Sweden,5084,1.4734615384615386,
11,Others,United Kingdom,67114,3.038074117878967,
11,Planes,Germany,48,1.9166666666666667,
11,Planes,Spain,12,2.25,
11,Planes,United Kingdom,29,2.875,
12,Classic Cars,Belgium,42,1.54,
12,Classic Cars,EIRE,61,12.9225,
12,Classic Cars,France,53,0.57375,
12,Classic Cars,Germany,60,0.42000000000000004,
12,Classic Cars,Netherlands,72,0.36,
12,Classic Cars,Portugal,12,0.85,
12,Classic Cars,Switzerland,24,0.42,
12,Classic Cars,United Kingdom,2984,1.4695890410958903,
12,Others,Australia,77,5.35625,
12,Others,Austria,929,6.755,
12,Others,Belgium,1138,3.1997590361445782,
12,Others,EIRE,586,3.1530909090909094,
12,Others,France,1796,3.259244186046512,
12,Others,Germany,2044,3.331,
12,Others,Netherlands,933,3.9393939393939394,
12,Others,Norway,64,7.08625,
12,Others,Portugal,114,4.425,
12,Others,Spain,1193,3.7443750000000002,
12,Others,Sweden,107,7.2,
12,Others,Switzerland,203,5.9818181818181815,
12,Others,United Kingdom,60418,2.917873604609291,
12,Planes,Germany,6,2.55,
12,Planes,United Kingdom,84,3.10625,
13,Classic Cars,EIRE,2,50.0,
13,Classic Cars,France,108,0.42000000000000004,
13,Classic Cars,Germany,48,0.42,
13,Classic Cars,Netherlands,720,0.372,
13,Classic Cars,Portugal,24,0.835,
13,Classic Cars,Spain,150,1.45,
13,Classic Cars,United Kingdom,2890,1.1650996015936255,
13,Others,Australia,1,350.0,
13,Others,EIRE,1501,3.351061946902655,
13,Others,Finland,346,4.425,
13,Others,France,4417,2.6591216216216216,
13,Others,Germany,1184,3.7558974358974355,
13,Others,Italy,164,5.0249999999999995,
13,Others,Netherlands,12674,2.6014782608695652,
13,Others,Portugal,361,3.839736842105263,
13,Others,Spain,400,1.5499999999999998,
13,Others,Switzerland,445,4.184390243902439,
13,Others,United Kingdom,69436,2.973801345609065,
13,Planes,Portugal,6,2.25,
13,Planes,United Kingdom,28,3.4125,
14,Classic Cars,Belgium,48,0.42,
14,Classic Cars,EIRE,212,7.797142857142857,
14,Classic Cars,France,97,0.42,
14,Classic Cars,Germany,70,0.625,
14,Classic Cars,Iceland,12,1.25,
14,Classic Cars,Singapore,216,0.36000000000000004,
14,Classic Cars,United Kingdom,2446,1.0690954773869348,
14,Others,Australia,224,2.3911764705882352,
14,Others,Belgium,390,3.045952380952381,
14,Others,EIRE,2072,3.0886725663716814,
14,Others,Finland,269,8.92,
14,Others,France,441,30.676170212765957,
14,Others,Germany,1391,2.782389380530973,
14,Others,Greece,262,5.22,
14,Others,Iceland,459,2.4145,
14,Others,Italy,445,2.077857142857143,
14,Others,Japan,1626,2.5671874999999997,
14,Others,Netherlands,1336,1.8679999999999999,
14,Others,Poland,432,3.1036,
14,Others,Portugal,370,2.428095238095238,
14,Others,Singapore,1173,115.14240740740742,
14,Others,United Kingdom,50409,3.443149591685226,
14,Planes,Germany,12,2.25,
14,Planes,Iceland,12,4.25,
14,Planes,United Kingdom,113,2.2666666666666666,
15,Classic Cars,Belgium,60,0.586,
15,Classic Cars,Channel Islands,1,50.0,
15,Classic Cars,EIRE,18,26.15,
15,Classic Cars,Finland,48,0.42,
15,Classic Cars,France,36,0.42,
15,Classic Cars,Germany,10,1.65,
15,Classic Cars,Portugal,10,1.65,
15,Classic Cars,Sweden,10,1.65,
15,Classic Cars,Switzerland,6,1.95,
15,Classic Cars,United Kingdom,6392,0.8955852842809363,
15,Others,Belgium,206,4.137307692307692,
15,Others,Brazil,356,4.45625,
15,Others,Channel Islands,96,3.5124999999999997,
15,Others,EIRE,723,3.441829268292683,
15,Others,Finland,348,4.801851851851852,
15,Others,France,653,3.6540677966101693,
15,Others,Germany,1662,4.059121621621622,
15,Others,Portugal,571,2.9494545454545453,
15,Others,Spain,156,4.225333333333333,
15,Others,Sweden,191,5.0738095238095235,
15,Others,Switzerland,291,7.662608695652175,
15,Others,United Kingdom,71959,3.0747871278302727,
15,Others,Unspecified,282,2.28125,
15,Planes,United Kingdom,233,2.4055,
16,Classic Cars,EIRE,1,50.0,
16,Classic Cars,Germany,52,0.7375,
16,Classic Cars,Italy,20,1.65,
16,Classic Cars,Spain,24,0.42,
16,Classic Cars,Switzerland,6,2.95,
16,Classic Cars,United Kingdom,1959,1.3816107382550336,
16,Motorcycles,United Kingdom,2,1.25,
16,Others,Belgium,204,3.581666666666667,
16,Others,EIRE,233,2.1855,
16,Others,Finland,153,13.0125,
16,Others,France,493,3.501639344262295,
16,Others,Germany,1899,6.244035087719299,
16,Others,Italy,188,1.84,
16,Others,Japan,6432,0.6614285714285714,
16,Others,Spain,506,4.575438596491228,
16,Others,Switzerland,583,3.7699999999999996,
16,Others,USA,137,3.372727272727273,
16,Others,United Kingdom,61166,3.135042421462967,
16,Planes,France,8,4.25,
16,Planes,United Kingdom,32,2.138888888888889,
17,Classic Cars,Austria,6,2.95,
17,Classic Cars,EIRE,1,50.0,
17,Classic Cars,France,14,0.42,
17,Classic Cars,United Kingdom,2292,0.852910447761194,
17,Others,Austria,305,6.409199999999999,
17,Others,Belgium,275,2.9010344827586207,
17,Others,EIRE,162,2.125,
17,Others,European Community,34,7.990909090909091,
17,Others,France,217,2.8875757575757572,
17,Others,Germany,1200,2.8112,
17,Others,Netherlands,432,2.99,
17,Others,Spain,267,3.132608695652174,
17,Others,Sweden,109,5.945833333333333,
17,Others,United Kingdom,43738,3.1407512019230768,
17,Planes,United Kingdom,56,2.6576923076923076,
18,Classic Cars,Belgium,36,0.42,
18,Classic Cars,EIRE,145,6.70875,
18,Classic Cars,France,108,0.42,
18,Classic Cars,Spain,126,0.73625,
18,Classic Cars,Switzerland,20,1.65,
18,Classic Cars,United Kingdom,2510,1.1901036269430052,
18,Motorcycles,United Kingdom,37,0.835,
18,Others,Austria,42,9.825000000000001,
18,Others,Belgium,218,3.898965517241379,
18,Others,Canada,504,1.06,
18,Others,EIRE,2720,3.7573684210526315,
18,Others,France,1817,2.790948275862069,
18,Others,Germany,799,3.2998214285714282,
18,Others,Poland,116,1.7563636363636363,
18,Others,Spain,709,4.497708333333333,
18,Others,Switzerland,1751,2.148064516129032,
18,Others,United Kingdom,62045,4.562453180048211,
18,Planes,United Kingdom,44,2.5,
19,Classic Cars,Belgium,36,0.42,
19,Classic Cars,Denmark,25,0.42,
19,Classic Cars,EIRE,7,26.475,
19,Classic Cars,France,24,0.42,
19,Classic Cars,Germany,132,0.5429999999999999,
19,Classic Cars,Japan,50,1.65,
19,Classic Cars,Netherlands,864,0.36,
19,Classic Cars,Portugal,3,1.65,
19,Classic Cars,United Kingdom,2684,0.846625,
19,Classic Cars,Unspecified,12,0.42,
19,Motorcycles,United Kingdom,4,1.25,
19,Others,Australia,184,4.161739130434783,
19,Others,Bahrain,240,4.203846153846154,
19,Others,Belgium,541,3.034375,
19,Others,Denmark,343,2.7911111111111113,
19,Others,EIRE,132,5.58375,
19,Others,France,3278,3.489254385964912,
19,Others,Germany,6914,5.106926229508196,
19,Others,Japan,693,2.7136363636363634,
19,Others,Netherlands,12677,3.007037037037037,
19,Others,Portugal,309,9.474868421052632,
19,Others,Sweden,2796,2.833529411764706,
19,Others,Switzerland,114,3.396666666666667,
19,Others,United Kingdom,68986,3.1811549429657795,
19,Others,Unspecified,642,2.0954347826086956,
19,Planes,United Kingdom,42,2.5,
20,Classic Cars,Australia,384,0.89,
20,Classic Cars,EIRE,84,14.07125,
20,Classic Cars,France,156,0.4008333333333333,
20,Classic Cars,Germany,46,0.7275,
20,Classic Cars,United Kingdom,4855,1.1770461538461539,
20,Others,Australia,8200,2.9265753424657537,
20,Others,Bahrain,20,6.074999999999999,
20,Others,Belgium,168,3.4877777777777776,
20,Others,Channel Islands,224,14.938235294117646,
20,Others,EIRE,3449,4.0460617760617765,
20,Others,France,2269,4.445,
20,Others,Germany,2716,3.080347826086957,
20,Others,Netherlands,540,4.992777777777778,
20,Others,Sweden,37,21.05,
20,Others,United Kingdom,80656,3.229074617642515,
20,Planes,France,4,4.25,
20,Planes,Germany,6,2.25,
20,Planes,United Kingdom,221,1.4418181818181817,
21,Classic Cars,Belgium,24,0.42,
21,Classic Cars,EIRE,59,8.405714285714286,
21,Classic Cars,France,30,5.755,
21,Classic Cars,Germany,24,0.42,
21,Classic Cars,United Kingdom,2088,1.3738725490196078,
21,Others,Australia,231,4.07,
21,Others,Austria,434,3.658444444444444,
21,Others,Belgium,806,3.765833333333333,
21,Others,EIRE,655,3.7590410958904115,
21,Others,France,1899,3.3221897810218977,
21,Others,Germany,1681,3.8887222222222224,
21,Others,Netherlands,5624,2.8005882352941174,
21,Others,Poland,500,4.834310344827586,
21,Others,Portugal,3,1013.8933333333334,
21,Others,Spain,25,14.425,
21,Others,United Kingdom,65516,3.3875339645944833,
21,Planes,United Kingdom,62,2.5833333333333335,
22,Classic Cars,Belgium,12,1.25,
22,Classic Cars,France,32,1.5966666666666667,
22,Classic Cars,Germany,46,1.0666666666666667,
22,Classic Cars,Netherlands,48,0.42,
22,Classic Cars,Spain,28,2.6733333333333333,
22,Classic Cars,United Kingdom,1913,1.6383088235294119,
22,Motorcycles,United Kingdom,12,1.25,
22,Others,Belgium,569,4.524133333333333,
22,Others,Cyprus,356,4.914893617021277,
22,Others,European Community,127,4.9447368421052635,
22,Others,France,2080,3.648333333333333,
22,Others,Germany,2162,2.6291729323308273,
22,Others,Italy,267,2.619565217391304,
22,Others,Netherlands,3386,3.412878787878788,
22,Others,Poland,4,6.25,
22,Others,Spain,687,3.8689473684210527,
22,Others,Sweden,54,10.0,
22,Others,Switzerland,364,4.243809523809524,
22,Others,United Kingdom,42410,3.2091297824456113,
22,Planes,Germany,6,2.25,
22,Planes,United Kingdom,87,2.012,
23,Classic Cars,Belgium,10,1.65,
23,Classic Cars,EIRE,315,10.496666666666666,
23,Classic Cars,France,18,1.685,
23,Classic Cars,Germany,12,1.25,
23,Classic Cars,Iceland,18,2.95,
23,Classic Cars,Netherlands,84,0.42000000000000004,
23,Classic Cars,Spain,24,0.42,
23,Classic Cars,Switzerland,24,0.42,
23,Classic Cars,United Kingdom,3253,1.3516141732283464,
23,Motorcycles,United Kingdom,7,1.25,
23,Others,Belgium,448,3.5959999999999996,
23,Others,Denmark,793,3.043673469387755,
23,Others,EIRE,3364,3.1795483870967742,
23,Others,European Community,3,15.0,
23,Others,France,3108,2.8766470588235293,
23,Others,Germany,837,4.900166666666666,
23,Others,Iceland,174,2.90125,
23,Others,Italy,55,7.976999999999999,
23,Others,Malta,378,3.7729545454545454,
23,Others,Netherlands,307,3.082608695652174,
23,Others,Portugal,201,2.415217391304348,
23,Others,Spain,594,5.2468115942028986,
23,Others,Sweden,188,3.5118181818181813,
23,Others,Switzerland,3363,3.946025641025641,
23,Others,United Kingdom,74537,3.258507758336085,
23,Planes,EIRE,6,2.25,
23,Planes,Iceland,4,4.25,
23,Planes,Netherlands,8,4.25,
23,Planes,United Kingdom,53,2.7115384615384617,
24,Classic Cars,Australia,520,1.2916666666666667,
24,Classic Cars,Channel Islands,2,6.75,
24,Classic Cars,EIRE,150,11.612222222222222,
24,Classic Cars,France,112,0.9119999999999999,
24,Classic Cars,Germany,106,0.625,
24,Classic Cars,Netherlands,504,0.36000000000000004,
24,Classic Cars,Spain,66,1.6471428571428572,
24,Classic Cars,United Kingdom,3816,1.5157039711191336,
24,Motorcycles,United Kingdom,2,1.25,
24,Others,Australia,14721,2.0993233082706766,
24,Others,Belgium,590,2.5546,
24,Others,Channel Islands,834,4.354875,
24,Others,EIRE,4011,4.089722222222222,
24,Others,France,2519,3.8742926829268294,
24,Others,Germany,1668,3.465254237288135,
24,Others,Netherlands,4214,1.9060869565217389,
24,Others,Poland,77,8.7,
24,Others,Portugal,220,4.4092,
24,Others,Spain,698,3.8800000000000003,
24,Others,United Kingdom,64354,2.965942188071716,
24,Planes,Belgium,8,4.25,
24,Planes,Germany,6,2.25,
24,Planes,United Kingdom,35,2.892857142857143,
25,Classic Cars,Belgium,12,0.42,
25,Classic Cars,Canada,27,5.185,
25,Classic Cars,Denmark,24,0.42,
25,Classic Cars,EIRE,30,26.035714285714285,
25,Classic Cars,France,312,0.5442857142857143,
25,Classic Cars,Germany,96,0.42,
25,Classic Cars,Netherlands,49,0.42000000000000004,
25,Classic Cars,Norway,76,4.378,
25,Classic Cars,Switzerland,6,2.95,
25,Classic Cars,United Kingdom,3794,1.4663636363636363,
25,Others,Belgium,489,3.0349999999999997,
25,Others,Canada,1029,2.788148148148148,
25,Others,Denmark,727,2.9909090909090907,
25,Others,EIRE,1416,2.65875,
25,Others,Finland,157,5.4715384615384615,
25,Others,France,1372,3.254456521739131,
25,Others,Germany,1766,3.16448,
25,Others,Japan,2256,0.7999999999999999,
25,Others,Malta,24,1.25,
25,Others,Netherlands,365,2.8804301075268817,
25,Others,Norway,1933,9.31167701863354,
25,Others,Spain,49,6.720000000000001,
25,Others,Sweden,162,4.5394736842105265,
25,Others,Switzerland,577,3.869545454545454,
25,Others,United Kingdom,53271,2.9749598232221777,
25,Others,Unspecified,78,4.677777777777778,
25,Planes,Belgium,4,4.25,
25,Planes,Canada,36,1.25,
25,Planes,United Kingdom,37,2.4722222222222223,
26,Classic Cars,Australia,12,1.25,
26,Classic Cars,EIRE,114,15.875714285714285,
26,Classic Cars,France,24,0.42,
26,Classic Cars,Germany,84,0.5583333333333333,
26,Classic Cars,Netherlands,632,3.6125000000000003,
26,Classic Cars,United Kingdom,2523,1.3444292237442923,
26,Others,Australia,728,2.833448275862069,
26,Others,Belgium,103,3.475,
26,Others,EIRE,3498,3.510133333333333,
26,Others,France,568,3.316190476190476,
26,Others,Germany,768,2.9716949152542376,
26,Others,Netherlands,10378,2.2561538461538464,
26,Others,Switzerland,152,3.6576923076923076,
26,Others,United Kingdom,48352,3.1290969001708566,
26,Planes,EIRE,76,2.6550000000000002,
26,Planes,Germany,6,2.25,
26,Planes,United Kingdom,616,2.9008333333333334,
27,Classic Cars,Belgium,96,0.39999999999999997,
27,Classic Cars,EIRE,1,50.0,
27,Classic Cars,Finland,48,0.42,
27,Classic Cars,France,108,0.42,
27,Classic Cars,Germany,90,0.855,
27,Classic Cars,Spain,124,0.7633333333333333,
27,Classic Cars,United Kingdom,2312,1.8333497536945813,
27,Motorcycles,United Kingdom,109,0.39,
27,Others,Belgium,570,3.765102040816327,
27,Others,EIRE,20,14.583333333333334,
27,Others,Finland,174,5.927058823529412,
27,Others,France,1731,3.1110303030303035,
27,Others,Germany,1905,5.061952662721894,
27,Others,Spain,1776,4.020196078431373,
27,Others,Sweden,3242,1.9045,
27,Others,Switzerland,282,3.2076470588235293,
27,Others,United Kingdom,66949,2.7638323116472217,
27,Planes,Finland,6,2.25,
27,Planes,Germany,18,1.75,
27,Planes,United Kingdom,33,2.940909090909091,
28,Classic Cars,Australia,12,9.3,
28,Classic Cars,Canada,46,1.02,
28,Classic Cars,EIRE,1,50.0,
28,Classic Cars,Germany,3,11.083333333333334,
28,Classic Cars,Portugal,24,3.45,
28,Classic Cars,Spain,1,0.39,
28,Classic Cars,United Kingdom,3421,1.2942745098039217,
28,Motorcycles,Australia,72,0.39,
28,Motorcycles,Canada,36,0.39,
28,Motorcycles,Germany,36,0.39,
28,Motorcycles,United Kingdom,9,0.38999999999999996,
28,Others,Australia,4677,1.822909090909091,
28,Others,Austria,100,7.719166666666666,
28,Others,Belgium,13,8.775,
28,Others,Canada,945,9.590533333333335,
28,Others,EIRE,865,4.138378378378379,
28,Others,Finland,857,3.5442592592592597,
28,Others,France,1612,4.8999999999999995,
28,Others,Germany,2228,3.2702439024390246,
28,Others,Greece,244,3.9595833333333332,
28,Others,Israel,633,2.392962962962963,
28,Others,Poland,288,4.9403125,
28,Others,Portugal,955,2.437627118644068,
28,Others,Spain,165,2.7325757575757574,
28,Others,United Kingdom,57701,2.780292122125895,
28,Others,Unspecified,271,3.4606666666666666,
28,Planes,France,8,4.25,
28,Planes,United Kingdom,57,3.1911764705882355,
29,Classic Cars,Australia,36,0.42,
29,Classic Cars,EIRE,175,9.481052631578947,
29,Classic Cars,France,24,0.42,
29,Classic Cars,Germany,376,1.0371428571428571,
29,Classic Cars,Portugal,20,1.65,
29,Classic Cars,United Kingdom,4342,1.2415693430656933,
29,Motorcycles,United Kingdom,113,0.39,
29,Others,Australia,449,2.82659793814433,
29,Others,EIRE,8913,2.84465306122449,
29,Others,European Community,335,3.2051724137931035,
29,Others,Finland,188,6.433333333333334,
29,Others,France,1166,3.197536231884058,
29,Others,Germany,3233,3.2602102102102104,
29,Others,Japan,120,1.45,
29,Others,Netherlands,10,2.602,
29,Others,Norway,586,3.4414285714285713,
29,Others,Portugal,437,1.771851851851852,
29,Others,Singapore,2160,3.0728,
29,Others,Spain,59,11.2725,
29,Others,United Kingdom,79137,2.9565056022408966,
29,Planes,United Kingdom,160,3.2183333333333333,
30,Classic Cars,Austria,4,6.75,
30,Classic Cars,Belgium,60,0.41,
30,Classic Cars,Denmark,24,0.42,
30,Classic Cars,EIRE,6,34.65,
30,Classic Cars,Germany,37,0.42,
30,Classic Cars,Japan,72,0.36,
30,Classic Cars,Spain,24,0.42,
30,Classic Cars,Switzerland,8,1.69,
30,Classic Cars,United Kingdom,4533,1.2502097902097902,
30,Classic Cars,Unspecified,5,2.8,
30,Motorcycles,United Kingdom,6,0.39,
30,Others,Australia,72,1.65,
30,Others,Austria,463,2.290487804878049,
30,Others,Belgium,940,3.7884507042253524,
30,Others,Denmark,217,2.8320000000000003,
30,Others,EIRE,10478,2.5729716981132076,
30,Others,France,651,2.673103448275862,
30,Others,Germany,1109,3.327045454545454,
30,Others,Italy,22,8.133333333333335,
