StockCode,semanas_activas,unidades_totales,descripcion,product_line,tasa_rotacion
16052,4,467,TEATIME PUSH DOWN RUBBER,Kitchenware,116.75
16054,20,1166,POPART RECT PENCIL SHARPENER ASST,Others,58.3
16151A,3,49,FLOWERS HANDBAG blue and orange,Others,16.333333333333332
16156L,17,475,"WRAP, CAROUSEL",Others,27.941176470588236
16156S,47,5800,WRAP PINK FAIRY CAKES,Others,123.40425531914893
16161G,17,700,WRAP BAD HAIR DAY,Others,41.1764705882353
16161M,1,25,WRAP  PINK FLOCK,Others,25.0
16161P,49,7226,WRAP ENGLISH ROSE,Others,147.46938775510205
16161U,46,4075,WRAP SUKI AND FRIENDS,Others,88.58695652173913
16162L,6,17,THE KING GIFT BAG,Others,2.8333333333333335
16162M,5,26,THE KING GIFT BAG 25x24x12cm,Others,5.2
16168M,16,329,FUNKY MONKEY GIFT BAG MEDIUM,Others,20.5625
16169E,21,4563,WRAP 50'S  CHRISTMAS,Seasonal,217.28571428571428
16169K,7,200,WRAP FOLK ART,Others,28.571428571428573
16169M,23,660,WRAP DAISY CARPET,Others,28.695652173913043
16169N,1,25,WRAP BLUE RUSSIAN FOLKART,Others,25.0
16169P,2,50,WRAP GREEN RUSSIAN FOLKART,Others,25.0
16202A,2,7,PASTEL PINK PHOTO ALBUM,Others,3.5
16202B,2,29,PASTEL BLUE PHOTO ALBUM,Others,14.5
16202E,2,15,BLACK PHOTO ALBUM,Others,7.5
16206B,2,7,RED PURSE WITH PINK HEART,Others,3.5
16207A,4,13,PINK STRAWBERRY HANDBAG,Others,3.25
16207B,2,4,PINK HEART RED HANDBAG,Others,2.0
16216,23,3316,LETTER SHAPE PENCIL SHARPENER,Others,144.17391304347825
16218,25,3760,CARTOON  PENCIL SHARPENERS,Others,150.4
16219,28,2915,HOUSE SHAPE PENCIL SHARPENER,Others,104.10714285714286
16225,28,762,RATTLE SNAKE EGGS,Others,27.214285714285715
16235,37,2665,RECYCLED PENCIL WITH RABBIT ERASER,Others,72.02702702702703
16236,36,1296,KITTY PENCIL ERASERS,Others,36.0
16237,45,4598,SLEEPING CAT ERASERS,Others,102.17777777777778
16238,35,1261,PARTY TIME PENCIL ERASERS,Others,36.02857142857143
16244B,2,7,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Others,3.5
16248B,5,13,BLUE HOLE PUNCH,Others,2.6
16254,9,31,TRANSPARENT ACRYLIC TAPE DISPENSER,Others,3.4444444444444446
16258A,21,445,SWIRLY CIRCULAR RUBBERS IN BAG,Others,21.19047619047619
16259,19,3380,PIECE OF CAMO STATIONERY SET,Stationery,177.89473684210526
17001,1,72,HEAVENS SCENT FRAGRANCE OILS ASSTD,Others,72.0
17003,47,22963,BROCADE RING PURSE,Others,488.5744680851064
17007B,2,24,S/3 POT POURI CUSHIONS BLUE COLOURS,Home Decor,12.0
17011F,6,80,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Others,13.333333333333334
17012A,18,270,ORIGAMI VANILLA INCENSE/CANDLE SET,Others,15.0
17012B,22,455,ORIGAMI JASMINE INCENSE/CANDLE SET,Others,20.681818181818183
17012C,25,363,ORIGAMI LAVENDER INCENSE/CANDL SET,Others,14.52
17012D,19,387,ORIGAMI ROSE INCENSE/CANDLE SET,Others,20.36842105263158
17012E,2,59,ORIGAMI OPIUM INCENSE/CANDLE SET,Others,29.5
17012F,19,365,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Others,19.210526315789473
17013D,10,532,ORIGAMI ROSE INCENSE IN TUBE,Others,53.2
17014A,7,154,ORIGAMI VANILLA INCENSE CONES,Others,22.0
17021,31,2427,NAMASTE SWAGAT INCENSE,Others,78.29032258064517
17028J,1,6,INCENSE BAZAAR PEACH,Others,6.0
17038,18,1501,PORCELAIN BUDAH INCENSE HOLDER,Others,83.38888888888889
17084A,7,200,TRANQUILITY MASALA INCENSE,Others,28.571428571428573
17084J,7,225,LOVE POTION MASALA INCENSE,Others,32.142857142857146
17084N,21,1025,FAIRY DREAMS INCENSE,Others,48.80952380952381
17084P,12,349,DRAGONS BLOOD INCENSE,Others,29.083333333333332
17084R,19,4032,ASSORTED INCENSE PACK,Others,212.21052631578948
17090A,9,109,LAVENDER INCENSE 40 CONES IN TIN,Others,12.11111111111111
17090D,9,29,VANILLA INCENSE 40 CONES IN TIN,Others,3.2222222222222223
17091A,12,172,LAVENDER INCENSE IN TIN,Others,14.333333333333334
17091J,38,2066,VANILLA INCENSE IN TIN,Others,54.36842105263158
17096,12,2516,ASSORTED LAQUERED INCENSE HOLDERS,Others,209.66666666666666
17107D,25,171,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Others,6.84
17109D,4,61,FLOWER FAIRY INCENSE BOUQUET,Others,15.25
17129F,18,427,BLUE GLASS GEMS IN BAG,Others,23.72222222222222
17136A,14,404,BLUE STONES ON WIRE FOR CANDLE,Others,28.857142857142858
17164B,6,29,ASS COL SMALL SAND GECKO P'WEIGHT,Others,4.833333333333333
17165D,4,27,ASS COL LARGE SAND FROG P'WEIGHT,Others,6.75
17174,3,9,ASSTD RASTA KEY-CHAINS,Others,3.0
17191A,2,4,ROSE FLOWER CANDLE+INCENSE 16X16CM,Others,2.0
18007,12,5856,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Others,488.0
18094C,13,134,WHITE AND BLUE CERAMIC OIL BURNER,Others,10.307692307692308
18097A,4,5,PINK TALL PORCELAIN T-LIGHT HOLDER,Others,1.25
18097C,32,673,WHITE TALL PORCELAIN T-LIGHT HOLDER,Others,21.03125
18098C,17,193,PORCELAIN BUTTERFLY OIL BURNER,Others,11.352941176470589
20615,25,231,BLUE POLKADOT PASSPORT COVER,Others,9.24
20616,23,134,CHERRY BLOSSOM PASSPORT COVER,Others,5.826086956521739
20617,21,66,FIRST CLASS PASSPORT COVER,Others,3.142857142857143
20618,24,68,QUEEN OF THE SKIES PASSPORT COVER,Others,2.8333333333333335
20619,17,142,TROPICAL PASSPORT COVER,Others,8.352941176470589
20622,22,163,VIPPASSPORT COVER,Others,7.409090909090909
20652,23,150,BLUE POLKADOT LUGGAGE TAG,Others,6.521739130434782
20653,6,33,CHERRY BLOSSOM LUGGAGE TAG,Others,5.5
20654,19,105,FIRST CLASS LUGGAGE TAG,Others,5.526315789473684
20655,25,89,QUEEN OF SKIES LUGGAGE TAG,Others,3.56
20657,20,61,TROPICAL LUGGAGE TAG,Others,3.05
20658,30,328,RED RETROSPOT LUGGAGE TAG,Others,10.933333333333334
20659,19,95,ECONOMY LUGGAGE TAG,Others,5.0
20661,5,9,BLUE POLKADOT PURSE,Others,1.8
20662,5,11,FIRST CLASS HOLIDAY PURSE,Others,2.2
20663,3,3,QUEEN OF THE SKIES HOLIDAY PURSE,Others,1.0
20664,3,6,TROPICAL HOLIDAY PURSE,Others,2.0
20665,37,340,RED RETROSPOT PURSE,Others,9.18918918918919
20666,3,4,ECONOMY HOLIDAY PURSE,Others,1.3333333333333333
20667,1,1,CHERRY BLOSSOM PURSE,Others,1.0
20668,39,12714,DISCO BALL CHRISTMAS DECORATION,Seasonal,326.0
20669,25,195,RED HEART LUGGAGE TAG,Others,7.8
20670,6,8,VIP HOLIDAY PURSE,Others,1.3333333333333333
20671,2,10,BLUE TEATIME PRINT BOWL,Kitchenware,5.0
20674,47,1373,GREEN POLKADOT BOWL,Kitchenware,29.21276595744681
20675,48,2729,BLUE POLKADOT BOWL,Kitchenware,56.854166666666664
20676,51,4363,RED RETROSPOT BOWL,Kitchenware,85.54901960784314
20677,51,3159,PINK POLKADOT BOWL,Kitchenware,61.94117647058823
20678,1,4,LARGE BLACK DIAMANTE HAIRSLIDE,Others,4.0
20679,51,1630,EDWARDIAN PARASOL RED,Others,31.96078431372549
20681,13,125,PINK POLKADOT CHILDRENS UMBRELLA,Others,9.615384615384615
20682,47,1140,RED RETROSPOT CHILDRENS UMBRELLA,Others,24.25531914893617
20684,22,78,STRAWBERRY DREAM CHILDS UMBRELLA,Others,3.5454545454545454
20685,51,3901,DOORMAT RED RETROSPOT,Others,76.49019607843137
20686,36,255,DOLLY MIXTURE CHILDREN'S UMBRELLA,Others,7.083333333333333
20694,9,36,FLORAL PINK MONSTER,Others,4.0
20695,4,5,FLORAL BLUE MONSTER,Others,1.25
20696,8,32,FLORAL SOFT CAR TOY,Toys & Games,4.0
20697,9,19,LITTLE GREEN MONSTER SOFT TOY,Toys & Games,2.111111111111111
20698,7,16,LITTLE PINK MONSTER SOFT TOY,Toys & Games,2.2857142857142856
20699,10,29,MOUSEY LONG LEGS SOFT TOY,Toys & Games,2.9
20700,4,10,GREEN CAT FLORAL CUSHION COVER,Home Decor,2.5
20701,3,6,PINK CAT FLORAL CUSHION COVER,Home Decor,2.0
20702,27,128,PINK PADDED MOBILE,Others,4.7407407407407405
20703,1,1,BLUE PADDED SOFT MOBILE,Others,1.0
20704,23,211,MR ROBOT SOFT TOY,Toys & Games,9.173913043478262
20705,21,143,MRS ROBOT SOFT TOY,Toys & Games,6.809523809523809
20707,25,155,CRAZY DAISY HEART DECORATION,Others,6.2
20711,51,4198,JUMBO BAG TOYS,Toys & Games,82.31372549019608
20712,51,8187,JUMBO BAG WOODLAND ANIMALS,Others,160.52941176470588
20713,41,10466,JUMBO BAG OWLS,Others,255.26829268292684
20716,20,314,PARTY FOOD SHOPPER BAG,Others,15.7
20717,50,2036,STRAWBERRY SHOPPER BAG,Others,40.72
20718,50,4264,RED RETROSPOT SHOPPER BAG,Others,85.28
20719,51,9237,WOODLAND CHARLOTTE BAG,Others,181.11764705882354
20723,51,6847,STRAWBERRY CHARLOTTE BAG,Others,134.2549019607843
20724,51,12809,RED RETROSPOT CHARLOTTE BAG,Others,251.15686274509804
20725,51,17897,LUNCH BAG RED RETROSPOT,Others,350.921568627451
20726,51,9115,LUNCH BAG WOODLAND,Others,178.72549019607843
20727,51,11291,LUNCH BAG  BLACK SKULL.,Others,221.3921568627451
20728,51,10820,LUNCH BAG CARS BLUE,Others,212.15686274509804
20731,8,74,POSY CANDY BAG,Others,9.25
20733,28,918,GOLD MINI TAPE MEASURE,Others,32.785714285714285
20735,18,158,BLACK MINI TAPE MEASURE,Others,8.777777777777779
20748,20,53,KENSINGTON COFFEE SET,Others,2.65
20749,49,1719,ASSORTED COLOUR MINI CASES,Others,35.08163265306123
20750,50,1712,RED RETROSPOT MINI CASES,Others,34.24
20751,50,973,FUNKY WASHING UP GLOVES ASSORTED,Others,19.46
20752,44,367,BLUE POLKADOT WASHING UP GLOVES,Others,8.340909090909092
20754,50,1356,RETROSPOT RED WASHING UP GLOVES,Others,27.12
20755,25,292,BLUE PAISLEY POCKET BOOK,Others,11.68
20756,15,63,GREEN FERN POCKET BOOK,Others,4.2
20757,19,164,RED DAISY POCKET BOOK,Others,8.631578947368421
20758,27,161,ABSTRACT CIRCLES POCKET BOOK,Others,5.962962962962963
20759,14,64,CHRYSANTHEMUM POCKET BOOK,Others,4.571428571428571
20760,15,69,GARDEN PATH POCKET BOOK,Others,4.6
20761,31,110,BLUE PAISLEY SKETCHBOOK,Others,3.5483870967741935
20762,25,101,GREEN FERN SKETCHBOOK,Others,4.04
20763,18,71,DAISY SKETCHBOOK,Others,3.9444444444444446
20764,29,128,ABSTRACT CIRCLES SKETCHBOOK,Others,4.413793103448276
20765,30,96,CHRYSANTHEMUM SKETCHBOOK,Others,3.2
20766,27,113,GARDEN PATH SKETCHBOOK,Others,4.185185185185185
20767,34,217,BLUE PAISLEY JOURNAL,Others,6.382352941176471
20768,24,131,GREEN FERN JOURNAL,Others,5.458333333333333
20769,14,66,DAISY JOURNAL,Others,4.714285714285714
20770,23,108,ABSTRACT CIRCLE JOURNAL,Others,4.695652173913044
20771,18,71,CHRYSANTHEMUM  JOURNAL,Others,3.9444444444444446
20772,23,218,GARDEN PATH JOURNAL,Others,9.478260869565217
20773,17,56,BLUE PAISLEY NOTEBOOK,Stationery,3.2941176470588234
20774,15,52,GREEN FERN NOTEBOOK,Stationery,3.466666666666667
20775,17,64,DAISY NOTEBOOK,Stationery,3.764705882352941
20777,23,95,CHRYSANTHEMUM NOTEBOOK,Stationery,4.130434782608695
20778,7,15,GARDEN PATH NOTEBOOK,Stationery,2.142857142857143
20780,11,37,BLACK EAR MUFF HEADPHONES,Others,3.3636363636363638
20781,14,32,GOLD EAR MUFF HEADPHONES,Others,2.2857142857142856
20782,12,40,CAMOUFLAGE EAR MUFF HEADPHONES,Others,3.3333333333333335
20785,5,14,FUSCHIA RETRO BAR STOOL,Others,2.8
20793,4,8,BLUE TILED TRAY,Others,2.0
20794,14,85,BLUE  TILE HOOK,Others,6.071428571428571
20795,8,44,LARGE BLUE PROVENCAL CERAMIC BALL,Others,5.5
20796,8,61,SMALL BLUE PROVENCAL CERAMIC BALL,Others,7.625
20798,4,36,CLEAR MILKSHAKE GLASS,Others,9.0
20801,16,848,LARGE PINK GLASS SUNDAE DISH,Others,53.0
20802,32,648,SMALL GLASS SUNDAE DISH CLEAR,Others,20.25
20803,11,917,SMALL PINK GLASS SUNDAE DISH,Others,83.36363636363636
20816,1,8,GOLD FLOWER CUSHION COVER,Home Decor,8.0
20818,2,12,GOLD TEDDY BEAR,Others,6.0
20819,13,48,SILVER TEDDY BEAR,Others,3.6923076923076925
20820,2,5,SILVER LOOKING MIRROR,Others,2.5
20821,5,16,GOLDIE LOOKING MIRROR,Others,3.2
20823,4,164,GOLD WINE GOBLET,Others,41.0
20826,6,276,SILVER APERITIF GLASS,Others,46.0
20827,1,88,GOLD APERITIF GLASS,Others,88.0
20828,48,1012,GLITTER BUTTERFLY CLIPS,Others,21.083333333333332
20829,48,1265,GLITTER HANGING BUTTERFLY STRING,Others,26.354166666666668
20830,18,75,SILVER PHOTO FRAME,Others,4.166666666666667
20831,16,169,GOLD PHOTO FRAME,Others,10.5625
20832,28,1034,RED FLOCK LOVE HEART PHOTO FRAME,Others,36.92857142857143
20835,6,66,FRENCH LATTICE CUSHION COVER,Home Decor,11.0
20836,14,170,FRENCH PAISLEY CUSHION COVER,Home Decor,12.142857142857142
20837,11,141,FRENCH FLORAL CUSHION COVER,Home Decor,12.818181818181818
20838,21,330,FRENCH LATTICE CUSHION COVER,Home Decor,15.714285714285714
20839,26,452,FRENCH PAISLEY CUSHION COVER,Home Decor,17.384615384615383
20840,23,464,FRENCH FLORAL CUSHION COVER,Home Decor,20.17391304347826
20845,9,19,ZINC HEART LATTICE 2 WALL PLANTER,Others,2.111111111111111
20846,33,647,ZINC HEART LATTICE T-LIGHT HOLDER,Others,19.606060606060606
20847,14,46,ZINC HEART LATTICE CHARGER LARGE,Others,3.2857142857142856
20848,8,21,ZINC HEART LATTICE CHARGER SMALL,Others,2.625
20851,6,9,ZINC HEART LATTICE TRAY OVAL,Others,1.5
20854,9,166,BLUE PATCH PURSE PINK HEART,Others,18.444444444444443
20856,20,140,DENIM PATCH PURSE PINK BUTTERFLY,Others,7.0
20857,5,32,BLUE ROSE PATCH PURSE PINK BUTTERFL,Others,6.4
20861,1,2,GOLD COSMETIC BAG PINK STAR,Others,2.0
20866,25,409,BLUE ROSE FABRIC MIRROR,Others,16.36
20867,19,187,PINK ROSE FABRIC MIRROR,Others,9.842105263157896
20868,16,381,SILVER FABRIC MIRROR,Others,23.8125
20869,13,139,GOLD FABRIC MIRROR,Others,10.692307692307692
20878,1,25,SET/9 CHRISTMAS T-LIGHTS SCENTED,Seasonal,25.0
20886,38,453,BOX OF 9 PEBBLE CANDLES,Others,11.921052631578947
20892,1,1,SET/3 TALL GLASS CANDLE HOLDER PINK,Others,1.0
20893,14,259,HANGING BAUBLE T-LIGHT HOLDER SMALL,Others,18.5
20894,6,25,HANGING BAUBLE T-LIGHT HOLDER LARGE,Others,4.166666666666667
20897,8,85,VINTAGE NOTEBOOK PARIS DAYS,Stationery,10.625
20898,4,25,VINTAGE NOTEBOOK TRAVELOGUE,Stationery,6.25
20901,2,4,VINTAGE KEEPSAKE BOX PINK FLOWER,Others,2.0
20902,6,33,VINTAGE KEEPSAKE BOX PARIS DAYS,Others,5.5
20903,9,20,VINTAGE KEEPSAKE BOX TRAVELOGUE,Others,2.2222222222222223
20906,2,3,VINTAGE NOTEBOOK BEAUTY GIRL,Stationery,1.5
20910,2,8,VINTAGE PHOTO ALBUM PARIS DAYS,Others,4.0
20914,51,6170,SET/5 RED RETROSPOT LID GLASS BOWLS,Kitchenware,120.98039215686275
20931,24,263,BLUE POT PLANT CANDLE,Others,10.958333333333334
20932,15,189,PINK POT PLANT CANDLE,Others,12.6
20933,7,23,YELLOW POT PLANT CANDLE,Others,3.2857142857142856
20934,16,54,SET/3 POT PLANT CANDLES,Others,3.375
20935,3,6,ROUND CACTUS CANDLE,Others,2.0
20936,19,92,FORKED CACTUS CANDLE,Others,4.842105263157895
20941,13,61,FROG CANDLE,Others,4.6923076923076925
20956,25,730,PORCELAIN T-LIGHT HOLDERS ASSORTED,Others,29.2
20961,38,1029,STRAWBERRY BATH SPONGE,Others,27.07894736842105
20963,41,1102,APPLE BATH SPONGE,Others,26.878048780487806
20964,1,2,POLYESTER FILLER PAD 60x40cm,Others,2.0
20966,11,589,SANDWICH BATH SPONGE,Others,53.54545454545455
20967,19,257,GREY FLORAL FELTCRAFT SHOULDER BAG,Others,13.526315789473685
20969,48,1876,RED FLORAL FELTCRAFT SHOULDER BAG,Others,39.083333333333336
20970,50,1081,PINK FLORAL FELTCRAFT SHOULDER BAG,Others,21.62
20971,51,10225,PINK BLUE FELT CRAFT TRINKET BOX,Others,200.49019607843138
20972,50,7131,PINK CREAM FELT CRAFT TRINKET BOX,Others,142.62
20973,42,4007,12 PENCIL SMALL TUBE WOODLAND,Others,95.4047619047619
20974,49,6734,12 PENCILS SMALL TUBE SKULL,Others,137.42857142857142
20975,35,6400,12 PENCILS SMALL TUBE RED RETROSPOT,Others,182.85714285714286
20977,43,1597,36 PENCILS TUBE WOODLAND,Others,37.13953488372093
20978,47,1631,36 PENCILS TUBE SKULLS,Others,34.702127659574465
20979,49,3523,36 PENCILS TUBE RED RETROSPOT,Others,71.89795918367346
20980,11,27,36 PENCILS TUBE POSY,Others,2.4545454545454546
20981,47,1851,12 PENCILS TALL TUBE WOODLAND,Others,39.38297872340426
20982,49,2019,12 PENCILS TALL TUBE SKULLS,Others,41.204081632653065
20983,50,2652,12 PENCILS TALL TUBE RED RETROSPOT,Others,53.04
20984,40,3809,12 PENCILS TALL TUBE POSY,Others,95.225
20985,36,1017,HEART CALCULATOR,Others,28.25
20986,25,462,BLUE CALCULATOR RULER,Others,18.48
20992,48,4365,JAZZ HEARTS PURSE NOTEBOOK,Stationery,90.9375
20996,44,3057,JAZZ HEARTS ADDRESS BOOK,Others,69.47727272727273
20997,4,15,ROSE DU SUD CUSHION COVER,Home Decor,3.75
20998,20,119,ROSE DU SUD OVEN GLOVE,Others,5.95
21000,12,46,ROSE DU SUD COSMETICS BAG,Others,3.8333333333333335
21001,11,25,ROSE DU SUD WASHBAG,Others,2.272727272727273
21002,5,13,ROSE DU SUD DRAWSTRING BAG,Others,2.6
21003,5,13,ROSE DU SUD CUSHION COVER,Home Decor,2.6
21011,2,18,GLITTER SNOW PEAR TREE DECORATION,Others,9.0
21012,28,567,ANTIQUE ALL GLASS CANDLESTICK,Others,20.25
21014,17,1233,SWISS CHALET TREE DECORATION,Others,72.52941176470588
21015,15,1251,DARK BIRD HOUSE TREE DECORATION,Others,83.4
21018,3,22,BIRD BOX CHRISTMAS TREE DECORATION,Seasonal,7.333333333333333
21025,13,100,SPACE FROG,Others,7.6923076923076925
21026,13,143,SPACE OWL,Others,11.0
21027,15,101,NINJA RABBIT PINK,Others,6.733333333333333
21028,17,116,NINJA RABBIT BLACK,Others,6.823529411764706
21030,13,121,SPACE CADET RED,Others,9.307692307692308
21031,8,40,SPACE CADET BLACK,Others,5.0
21032,11,65,SPACE CADET WHITE,Others,5.909090909090909
21033,30,922,JUMBO BAG CHARLIE AND LOLA TOYS,Toys & Games,30.733333333333334
21034,51,1893,REX CASH+CARRY JUMBO SHOPPER,Others,37.11764705882353
21035,50,2319,SET/2 RED RETROSPOT TEA TOWELS,Kitchenware,46.38
21038,9,77,SET/4 MODERN VINTAGE COTTON NAPKINS,Others,8.555555555555555
21039,40,510,RED RETROSPOT SHOPPING BAG,Others,12.75
21040,6,22,MODERN VINTAGE COTTON SHOPPING BAG,Others,3.6666666666666665
21041,48,576,RED RETROSPOT OVEN GLOVE DOUBLE,Others,12.0
21042,42,303,RED RETROSPOT APRON,Others,7.214285714285714
21043,17,443,APRON MODERN VINTAGE COTTON,Others,26.058823529411764
21051,13,108,RIBBONS PURSE,Others,8.307692307692308
21054,19,68,NURSE'S BAG SOFT TOY,Toys & Games,3.5789473684210527
21055,30,146,TOOL BOX SOFT TOY,Toys & Games,4.866666666666666
21056,32,174,DOCTOR'S BAG SOFT TOY,Toys & Games,5.4375
21058,39,1049,PARTY INVITES WOODLAND,Others,26.897435897435898
21059,38,573,PARTY INVITES DINOSAURS,Others,15.078947368421053
21060,32,356,PARTY INVITES BALLOON GIRL,Others,11.125
21061,32,412,PARTY INVITES FOOTBALL,Others,12.875
21062,35,501,PARTY INVITES SPACEMAN,Others,14.314285714285715
21063,41,483,PARTY INVITES JAZZ HEARTS,Others,11.78048780487805
21064,23,176,BOOM BOX SPEAKER BOYS,Others,7.6521739130434785
21065,27,487,BOOM BOX SPEAKER GIRLS,Others,18.037037037037038
21066,30,688,VINTAGE RED MUG,Kitchenware,22.933333333333334
21067,22,203,VINTAGE RED TEATIME MUG,Kitchenware,9.227272727272727
21068,45,1535,VINTAGE BILLBOARD LOVE/HATE MUG,Kitchenware,34.111111111111114
21069,27,1868,VINTAGE BILLBOARD TEA MUG,Kitchenware,69.18518518518519
21070,38,1033,VINTAGE BILLBOARD MUG,Kitchenware,27.18421052631579
21071,40,849,VINTAGE BILLBOARD DRINK ME MUG,Kitchenware,21.225
21078,43,2494,SET/20 STRAWBERRY PAPER NAPKINS,Stationery,58.0
21080,51,12313,SET/20 RED RETROSPOT PAPER NAPKINS,Stationery,241.4313725490196
21084,35,2199,SET/6 COLLAGE PAPER CUPS,Stationery,62.82857142857143
21086,51,6589,SET/6 RED SPOTTY PAPER CUPS,Stationery,129.19607843137254
21087,6,126,SET/6 POSIES PAPER CUPS,Stationery,21.0
21088,35,1576,SET/6 FRUIT SALAD PAPER CUPS,Stationery,45.02857142857143
21089,16,231,SET/6 GREEN SPRING PAPER CUPS,Stationery,14.4375
21090,38,1672,SET/6 COLLAGE PAPER PLATES,Stationery,44.0
21094,50,7351,SET/6 RED SPOTTY PAPER PLATES,Stationery,147.02
21095,6,95,SET/6 POSIES PAPER PLATES,Stationery,15.833333333333334
21096,30,1143,SET/6 FRUIT SALAD  PAPER PLATES,Stationery,38.1
21098,20,3176,CHRISTMAS TOILET ROLL,Seasonal,158.8
21100,7,43,CHARLIE AND LOLA CHARLOTTE BAG,Others,6.142857142857143
21106,21,193,CREAM SLICE FLANNEL CHOCOLATE SPOT,Others,9.19047619047619
21107,32,840,CREAM SLICE FLANNEL PINK SPOT,Others,26.25
21108,40,10082,FAIRY CAKE FLANNEL ASSORTED COLOUR,Others,252.05
21109,24,837,LARGE CAKE TOWEL CHOCOLATE SPOTS,Others,34.875
21110,33,775,LARGE CAKE TOWEL PINK SPOTS,Others,23.484848484848484
21111,20,789,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",Others,39.45
21112,25,1245,"SWISS ROLL TOWEL, PINK  SPOTS",Others,49.8
21114,46,1352,LAVENDER SCENTED FABRIC HEART,Others,29.391304347826086
21115,43,523,ROSE CARAVAN DOORSTOP,Others,12.162790697674419
21116,45,489,OWL DOORSTOP,Others,10.866666666666667
21117,12,115,BLOND DOLL DOORSTOP,Others,9.583333333333334
21121,51,6502,SET/10 RED POLKADOT PARTY CANDLES,Others,127.49019607843137
21122,50,5257,SET/10 PINK POLKADOT PARTY CANDLES,Others,105.14
21123,40,975,SET/10 IVORY POLKADOT PARTY CANDLES,Others,24.375
21124,49,3970,SET/10 BLUE POLKADOT PARTY CANDLES,Others,81.0204081632653
21125,38,598,SET 6 FOOTBALL CELEBRATION CANDLES,Others,15.736842105263158
21126,34,488,SET OF 6 GIRLS CELEBRATION CANDLES,Others,14.352941176470589
21128,13,47,GOLD FISHING GNOME,Others,3.6153846153846154
21129,15,45,SILVER FISHING GNOME,Others,3.0
21131,13,93,GOLD STANDING GNOME,Others,7.153846153846154
21132,12,35,SILVER STANDING GNOME,Others,2.9166666666666665
21135,49,2708,VICTORIAN  METAL POSTCARD SPRING,Others,55.265306122448976
21136,51,4476,PAINTED METAL PEARS ASSORTED,Others,87.76470588235294
21137,47,11406,BLACK RECORD COVER FRAME,Others,242.68085106382978
21143,11,296,ANTIQUE GLASS HEART DECORATION,Others,26.90909090909091
