StockCode,Month,Quantity,TotalSales
15058C,2011-03,13,63.35
15058C,2011-04,8,63.6
15058C,2011-05,84,347.8
15058C,2011-06,54,229.3
15058C,2011-07,25,118.75
15058C,2011-08,4,31.8
15058C,2011-09,1,7.95
15060B,2010-12,46,172.5
15060B,2011-01,38,132.9
15060B,2011-02,16,60.0
15060B,2011-03,16,60.0
15060B,2011-04,3,11.25
15060B,2011-05,29,108.75
15060B,2011-06,12,45.0
15060B,2011-07,43,161.25
15060B,2011-08,93,300.75
15060B,2011-09,75,290.33
15060B,2011-10,22,87.03999999999999
15060B,2011-11,18,53.1
16008,2010-12,14,3.5
16008,2011-02,20,5.0
16008,2011-03,72,18.0
16008,2011-04,264,25.2
16008,2011-06,49,12.25
16008,2011-07,128,15.36
16008,2011-08,458,54.96
16008,2011-09,268,32.16
16008,2011-10,342,41.04
16008,2011-11,941,112.92
16008,2011-12,336,40.31999999999999
16010,2010-12,12,1.44
16010,2011-02,12,1.44
16010,2011-03,6,0.72
16011,2010-12,94,19.740000000000002
16011,2011-01,191,40.11
16011,2011-02,96,20.16
16011,2011-03,147,30.869999999999997
16011,2011-04,195,40.95
16011,2011-05,64,13.440000000000001
16011,2011-06,54,11.34
16011,2011-07,189,39.69
16011,2011-08,192,40.32
16011,2011-09,48,10.08
16011,2011-10,119,24.990000000000002
16011,2011-11,359,75.39
16011,2011-12,25,5.25
16012,2010-12,120,25.2
16012,2011-01,96,20.16
16012,2011-02,48,10.08
16012,2011-03,384,80.64
16012,2011-04,28,5.88
16012,2011-05,133,27.93
16012,2011-06,24,5.04
16012,2011-07,194,40.74
16012,2011-09,24,5.04
16012,2011-11,168,35.28
16012,2011-12,25,5.25
16014,2010-12,1029,332.18
16014,2011-01,10,4.2
16014,2011-02,1501,480.42
16014,2011-03,1060,345.2
16014,2011-04,23,9.66
16014,2011-05,2771,903.8199999999999
16014,2011-06,32,11.440000000000001
16014,2011-07,60,25.200000000000003
16014,2011-08,2065,667.3
16014,2011-09,1061,345.62
16014,2011-10,40,16.8
16014,2011-11,3606,1164.52
16014,2011-12,70,29.4
16015,2010-12,21,10.5
16015,2011-01,20,10.0
16015,2011-02,101,50.5
16015,2011-03,70,35.0
16015,2011-04,303,113.28
16015,2011-05,43,21.5
16015,2011-06,30,12.2
16015,2011-08,24,12.0
16015,2011-10,20,10.0
16015,2011-11,30,15.0
16016,2010-12,28,23.8
16016,2011-01,40,34.0
16016,2011-02,323,248.55
16016,2011-03,70,59.5
16016,2011-04,133,113.05
16016,2011-05,122,103.7
16016,2011-06,110,90.9
16016,2011-07,72,61.2
16016,2011-08,65,55.25
16016,2011-09,50,42.5
16016,2011-10,40,34.0
16016,2011-11,140,119.0
16016,2011-12,80,68.0
16020C,2011-03,2,1.7
16020C,2011-04,4,3.4
16033,2010-12,240,28.799999999999997
16033,2011-01,120,14.399999999999999
16033,2011-02,480,57.599999999999994
16043,2011-06,98,11.759999999999998
16045,2010-12,100,12.0
16045,2011-03,200,24.0
16045,2011-06,1200,48.0
16045,2011-07,2100,84.0
16045,2011-08,1000,40.0
16045,2011-09,1400,56.0
16045,2011-10,1700,68.0
16045,2011-11,1000,40.0
16045,2011-12,200,8.0
16046,2010-12,10,8.5
16046,2011-02,4,3.4
16046,2011-03,9,7.65
16046,2011-04,2,1.7
16046,2011-05,5,4.25
16046,2011-06,1,0.85
16046,2011-08,31,26.35
16046,2011-10,3,2.55
16046,2011-11,2,1.7
16048,2010-12,24,10.08
16048,2011-03,192,23.04
16048,2011-04,96,11.52
16048,2011-05,24,10.08
16048,2011-06,288,34.56
16048,2011-07,144,17.28
16048,2011-08,192,23.04
16048,2011-09,144,17.28
16048,2011-10,210,25.2
16048,2011-11,123,14.76
16049,2011-04,36,15.12
16049,2011-05,468,66.96000000000001
16052,2011-01,24,10.08
16052,2011-05,48,20.16
16052,2011-06,395,75.05
16054,2010-12,2,0.84
16054,2011-06,108,12.96
16054,2011-07,252,30.240000000000002
16054,2011-08,74,8.88
16054,2011-09,110,13.200000000000001
16054,2011-10,254,30.480000000000004
16054,2011-11,330,39.6
16054,2011-12,36,4.32
16151A,2011-05,49,61.25
16156L,2011-01,50,21.0
16156L,2011-02,25,10.5
16156L,2011-03,50,21.0
16156L,2011-04,50,21.0
16156L,2011-05,50,21.0
16156L,2011-06,50,21.0
16156L,2011-07,100,42.0
16156L,2011-09,50,21.0
16156L,2011-11,25,10.5
16156L,2011-12,25,10.5
16156S,2010-12,225,94.5
16156S,2011-01,350,147.0
16156S,2011-02,275,115.5
16156S,2011-03,725,286.5
16156S,2011-04,775,293.5
16156S,2011-05,675,267.5
16156S,2011-06,275,115.5
16156S,2011-07,350,147.0
16156S,2011-08,200,84.0
16156S,2011-09,475,199.5
16156S,2011-10,900,342.0
16156S,2011-11,475,196.5
16156S,2011-12,100,42.0
16161G,2011-03,25,2.5
16161G,2011-04,25,2.5
16161G,2011-05,75,7.5
16161G,2011-06,25,2.5
16161G,2011-07,150,15.0
16161G,2011-08,50,5.0
16161G,2011-09,175,17.5
16161G,2011-10,50,5.0
16161G,2011-11,125,12.5
16161M,2010-12,25,10.5
16161P,2010-12,50,21.0
16161P,2011-01,451,189.42
16161P,2011-02,400,168.0
16161P,2011-03,525,220.5
16161P,2011-04,700,294.0
16161P,2011-05,400,168.0
16161P,2011-06,1150,451.0
16161P,2011-07,750,315.0
16161P,2011-08,625,262.5
16161P,2011-09,475,199.5
16161P,2011-10,1025,430.5
16161P,2011-11,525,208.5
16161P,2011-12,150,63.0
16161U,2010-12,100,42.0
16161U,2011-01,300,126.0
16161U,2011-02,300,126.0
16161U,2011-03,325,136.5
16161U,2011-04,175,73.5
16161U,2011-05,475,199.5
16161U,2011-06,200,84.0
16161U,2011-07,325,136.5
16161U,2011-08,350,147.0
16161U,2011-09,325,136.5
16161U,2011-10,850,333.0
16161U,2011-11,300,126.0
16161U,2011-12,50,21.0
16162L,2011-06,5,3.25
16162L,2011-07,3,1.9500000000000002
16162L,2011-08,1,0.65
16162L,2011-09,8,5.2
16162M,2011-07,10,4.2
16162M,2011-09,12,5.04
16162M,2011-11,4,1.68
16168M,2010-12,24,10.08
16168M,2011-01,30,12.6
16168M,2011-02,24,10.08
16168M,2011-04,48,20.16
16168M,2011-05,24,10.08
16168M,2011-06,39,16.38
16168M,2011-07,68,28.56
16168M,2011-09,20,8.4
16168M,2011-11,28,11.76
16168M,2011-12,24,10.08
16169E,2011-07,100,42.0
16169E,2011-08,325,136.5
16169E,2011-09,900,378.0
16169E,2011-10,1237,507.54
16169E,2011-11,1625,670.5
16169E,2011-12,376,157.92000000000002
16169K,2010-12,25,10.5
16169K,2011-01,100,42.0
16169K,2011-05,25,10.5
16169K,2011-09,50,21.0
16169M,2011-01,50,21.0
16169M,2011-02,100,42.0
16169M,2011-03,135,56.7
16169M,2011-04,50,21.0
16169M,2011-05,50,21.0
16169M,2011-06,50,21.0
16169M,2011-08,50,21.0
16169M,2011-09,75,31.5
16169M,2011-10,25,10.5
16169M,2011-11,50,21.0
16169M,2011-12,25,10.5
16169N,2010-12,25,10.5
16169P,2010-12,50,21.0
16202A,2011-03,3,1.5
16202A,2011-04,4,2.0
16202B,2011-04,29,14.5
16202E,2011-04,15,7.5
16206B,2010-12,2,2.5
16206B,2011-01,5,6.25
16207A,2010-12,2,5.9
16207A,2011-03,2,5.9
16207A,2011-05,2,5.9
16207A,2011-10,6,17.700000000000003
16207A,2011-11,1,2.95
16207B,2011-01,3,8.850000000000001
16207B,2011-08,1,2.46
16216,2010-12,20,3.2
16216,2011-02,10,1.6
16216,2011-03,35,5.6
16216,2011-04,265,36.0
16216,2011-05,5,0.8
16216,2011-06,1716,102.96
16216,2011-07,400,24.0
16216,2011-09,166,9.96
16216,2011-10,195,11.7
16216,2011-11,394,24.72
16216,2011-12,110,6.6
16218,2010-12,5,0.8
16218,2011-02,80,12.8
16218,2011-03,80,12.8
16218,2011-04,165,20.0
16218,2011-05,10,1.6
16218,2011-06,1205,72.3
16218,2011-07,160,9.6
16218,2011-08,320,19.2
16218,2011-09,720,43.2
16218,2011-10,360,21.599999999999998
16218,2011-11,560,33.6
16218,2011-12,95,5.699999999999999
16219,2010-12,12,2.52
16219,2011-01,12,2.52
16219,2011-02,48,10.08
16219,2011-03,12,2.52
16219,2011-04,120,19.8
16219,2011-06,288,17.28
16219,2011-07,414,26.64
16219,2011-08,768,154.07999999999998
16219,2011-09,504,30.24
16219,2011-10,480,28.8
16219,2011-11,242,14.52
16219,2011-12,15,0.8999999999999999
16225,2010-12,262,128.3
16225,2011-01,108,55.32
16225,2011-02,24,30.0
16225,2011-04,1,1.25
16225,2011-05,2,2.5
16225,2011-06,16,20.0
16225,2011-07,9,11.25
16225,2011-08,4,7.04
16225,2011-09,12,15.0
16225,2011-10,114,137.46
16225,2011-11,110,139.54
16225,2011-12,100,51.68
16235,2010-12,111,23.310000000000002
16235,2011-01,192,40.32
16235,2011-02,628,101.88000000000001
16235,2011-03,279,58.589999999999996
16235,2011-04,20,4.2
16235,2011-05,203,42.629999999999995
16235,2011-06,33,6.93
16235,2011-07,533,105.92999999999999
16235,2011-08,170,35.7
16235,2011-09,84,19.74
16235,2011-10,193,40.53
16235,2011-11,189,39.69
16235,2011-12,30,6.3
16236,2010-12,41,8.61
16236,2011-01,87,18.27
16236,2011-02,4,0.84
16236,2011-03,99,20.79
16236,2011-04,97,20.37
16236,2011-05,195,40.95
16236,2011-07,220,40.6
16236,2011-08,56,11.76
16236,2011-09,89,18.69
16236,2011-10,131,27.51
16236,2011-11,235,49.35
16236,2011-12,42,8.82
16237,2010-12,564,100.44
16237,2011-01,417,78.57
16237,2011-02,156,32.76
16237,2011-03,555,107.55
16237,2011-04,186,39.06
16237,2011-05,262,55.019999999999996
16237,2011-06,236,45.059999999999995
16237,2011-07,335,62.85
16237,2011-08,241,50.61
16237,2011-09,315,61.65
16237,2011-10,271,52.41
16237,2011-11,859,162.39
16237,2011-12,201,37.71
16238,2010-12,57,11.969999999999999
16238,2011-01,56,11.76
16238,2011-02,32,6.72
16238,2011-03,90,18.9
16238,2011-04,169,35.49
16238,2011-05,115,24.15
16238,2011-06,9,1.8900000000000001
16238,2011-07,197,35.77
16238,2011-08,143,30.03
16238,2011-09,87,18.9
16238,2011-10,90,21.0
16238,2011-11,163,35.7
16238,2011-12,53,13.23
16244B,2011-04,4,2.0
16244B,2011-05,3,5.85
16248B,2011-03,2,2.5
16248B,2011-05,1,1.25
16248B,2011-07,1,1.25
16248B,2011-09,2,2.5
16248B,2011-10,7,8.75
16254,2011-06,13,11.049999999999999
16254,2011-08,1,1.63
16254,2011-10,14,12.68
16254,2011-11,3,2.55
16258A,2010-12,4,1.68
16258A,2011-01,58,24.36
16258A,2011-03,12,5.04
16258A,2011-04,10,4.2
16258A,2011-05,36,15.12
16258A,2011-06,12,5.04
16258A,2011-07,39,16.38
16258A,2011-09,7,3.3499999999999996
16258A,2011-10,79,35.64
16258A,2011-11,28,13.4
16258A,2011-12,160,32.32
16259,2011-03,216,45.36
16259,2011-04,108,22.68
16259,2011-05,108,22.68
16259,2011-06,878,70.24000000000001
16259,2011-07,1246,99.68
16259,2011-08,324,25.92
16259,2011-09,456,36.480000000000004
16259,2011-10,24,1.9200000000000002
16259,2011-11,20,1.6
17001,2011-02,72,20.88
17003,2010-12,1119,198.99
17003,2011-01,3174,522.54
17003,2011-02,397,106.49
17003,2011-03,3396,869.64
17003,2011-04,496,138.07999999999998
17003,2011-05,2209,583.01
17003,2011-06,2988,751.3199999999999
17003,2011-07,1799,492.90999999999997
17003,2011-08,1486,402.14
17003,2011-09,2153,608.5500000000001
17003,2011-10,2399,779.37
17003,2011-11,1056,413.28000000000003
17003,2011-12,291,113.73
17007B,2010-12,12,25.200000000000003
17007B,2011-06,12,25.200000000000003
17011F,2010-12,1,2.1
17011F,2011-01,6,12.600000000000001
17011F,2011-04,48,31.200000000000003
17011F,2011-05,25,16.25
17012A,2010-12,25,14.55
17012A,2011-01,6,15.299999999999999
17012A,2011-03,6,15.299999999999999
17012A,2011-04,1,2.55
17012A,2011-05,24,20.4
17012A,2011-06,24,20.4
17012A,2011-07,10,8.5
17012A,2011-08,8,6.8
17012A,2011-09,57,48.449999999999996
17012A,2011-10,94,79.9
17012A,2011-11,10,8.5
17012A,2011-12,5,4.25
17012B,2010-12,31,29.849999999999998
17012B,2011-01,12,30.599999999999998
17012B,2011-02,96,81.6
17012B,2011-03,6,15.299999999999999
17012B,2011-04,1,2.55
17012B,2011-05,24,20.4
17012B,2011-06,48,40.8
17012B,2011-07,35,29.75
17012B,2011-08,34,28.9
17012B,2011-09,37,31.45
17012B,2011-10,126,107.1
17012B,2011-11,5,4.25
17012C,2010-12,127,111.44999999999999
17012C,2011-01,6,15.299999999999999
17012C,2011-02,1,2.55
17012C,2011-03,11,28.049999999999997
17012C,2011-04,1,2.55
17012C,2011-06,26,22.099999999999998
17012C,2011-07,12,10.2
17012C,2011-08,2,1.7
17012C,2011-09,10,8.5
17012C,2011-10,66,56.1
17012C,2011-11,88,74.8
17012C,2011-12,13,11.05
17012D,2010-12,7,17.849999999999998
17012D,2011-01,8,20.4
17012D,2011-03,6,15.299999999999999
17012D,2011-06,1,2.55
17012D,2011-07,12,10.2
17012D,2011-08,49,41.65
17012D,2011-09,41,34.85
17012D,2011-10,84,71.4
17012D,2011-11,145,123.25
17012D,2011-12,34,28.9
17012E,2010-12,59,52.05
17012F,2010-12,37,45.15
17012F,2011-02,1,2.55
17012F,2011-03,2,5.1
17012F,2011-06,1,0.85
17012F,2011-07,35,29.75
17012F,2011-08,25,21.25
17012F,2011-09,34,28.9
17012F,2011-10,45,38.25
17012F,2011-11,144,122.39999999999999
17012F,2011-12,41,34.85
17013D,2010-12,99,45.269999999999996
17013D,2011-01,108,60.12
17013D,2011-02,96,40.32
17013D,2011-03,13,21.449999999999996
17013D,2011-04,192,80.64
17013D,2011-05,12,5.04
17013D,2011-06,12,5.04
17014A,2010-12,24,12.0
17014A,2011-02,96,40.32
17014A,2011-03,1,1.65
17014A,2011-04,5,2.1
17014A,2011-05,12,5.04
17014A,2011-06,16,6.72
17021,2010-12,686,169.8
17021,2011-01,606,145.8
17021,2011-02,108,32.4
17021,2011-03,18,5.3999999999999995
17021,2011-04,90,22.68
17021,2011-05,102,30.599999999999998
17021,2011-06,96,28.799999999999997
17021,2011-07,186,55.8
17021,2011-08,37,11.099999999999998
17021,2011-09,180,49.68
17021,2011-10,162,44.279999999999994
17021,2011-11,120,36.0
17021,2011-12,36,10.799999999999999
17028J,2011-01,6,2.52
17038,2010-12,100,7.000000000000001
17038,2011-01,108,10.8
17038,2011-02,200,20.0
17038,2011-03,60,6.0
17038,2011-04,200,14.000000000000002
17038,2011-06,201,20.1
17038,2011-07,1,0.1
17038,2011-08,30,3.0
17038,2011-09,200,17.0
17038,2011-10,200,20.0
17038,2011-11,201,20.1
17084A,2011-01,50,10.5
17084A,2011-02,25,5.25
17084A,2011-03,25,5.25
17084A,2011-04,25,5.25
17084A,2011-06,25,5.25
17084A,2011-07,25,5.25
17084A,2011-09,25,5.25
17084J,2010-12,25,5.25
17084J,2011-01,50,10.5
17084J,2011-02,25,5.25
17084J,2011-03,25,5.25
17084J,2011-04,50,10.5
17084J,2011-07,25,5.25
17084J,2011-09,25,5.25
17084N,2010-12,25,5.25
17084N,2011-01,75,15.75
17084N,2011-02,100,21.0
17084N,2011-03,100,21.0
17084N,2011-04,25,5.25
17084N,2011-05,50,10.5
17084N,2011-06,75,15.75
17084N,2011-07,50,10.5
17084N,2011-08,75,15.75
17084N,2011-09,125,26.25
17084N,2011-10,175,34.25
17084N,2011-11,125,26.25
17084N,2011-12,25,5.25
17084P,2010-12,25,5.25
17084P,2011-01,50,10.5
17084P,2011-02,25,5.25
17084P,2011-03,25,5.25
17084P,2011-06,49,10.29
17084P,2011-07,25,5.25
17084P,2011-08,50,10.5
17084P,2011-09,50,10.5
17084P,2011-10,25,5.25
17084P,2011-11,25,5.25
17084R,2010-12,1656,275.76
17084R,2011-02,144,30.24
17084R,2011-03,360,75.6
17084R,2011-04,216,38.16
17084R,2011-05,360,75.6
17084R,2011-06,72,15.12
17084R,2011-07,216,45.36
17084R,2011-09,504,102.24
17084R,2011-10,216,41.76
17084R,2011-11,216,45.36
17084R,2011-12,72,15.12
17090A,2010-12,43,39.349999999999994
17090A,2011-01,6,7.5
17090A,2011-02,36,30.599999999999998
17090A,2011-05,1,1.25
17090A,2011-06,6,7.5
17090A,2011-07,2,2.5
17090A,2011-10,6,7.5
17090A,2011-11,9,11.25
17090D,2010-12,8,10.0
17090D,2011-02,2,2.5
17090D,2011-03,2,2.5
17090D,2011-05,2,2.5
17090D,2011-06,6,7.5
17090D,2011-07,9,11.25
17091A,2010-12,54,36.18
17091A,2011-01,7,8.75
17091A,2011-02,3,3.75
17091A,2011-03,11,13.75
17091A,2011-04,26,9.88
17091A,2011-05,71,26.980000000000004
17091J,2010-12,211,140.99
17091J,2011-01,115,49.79
17091J,2011-02,6,7.5
17091J,2011-03,125,62.29
17091J,2011-04,257,102.00999999999999
17091J,2011-05,38,14.44
17091J,2011-06,235,89.3
17091J,2011-07,226,85.88
17091J,2011-08,182,69.16
17091J,2011-09,71,26.98
17091J,2011-10,207,78.66
17091J,2011-11,177,67.26
17091J,2011-12,216,82.08
17096,2010-12,1728,293.76000000000005
17096,2011-01,197,41.370000000000005
17096,2011-02,72,15.120000000000001
17096,2011-03,12,2.52
17096,2011-04,144,26.4
17096,2011-05,72,15.120000000000001
17096,2011-07,291,49.470000000000006
17107D,2010-12,34,86.69999999999999
17107D,2011-01,6,15.299999999999999
17107D,2011-02,19,48.449999999999996
17107D,2011-03,7,17.849999999999998
17107D,2011-04,15,38.25
17107D,2011-05,9,22.95
17107D,2011-06,15,38.25
17107D,2011-08,4,10.2
17107D,2011-09,16,40.8
17107D,2011-10,25,63.75
17107D,2011-11,16,40.8
17107D,2011-12,5,12.75
17109D,2010-12,2,3.38
17109D,2011-03,5,8.45
17109D,2011-04,54,20.52
17129F,2011-03,38,27.259999999999998
17129F,2011-04,60,40.92
17129F,2011-05,5,4.25
17129F,2011-06,82,54.58
17129F,2011-07,122,78.5
17129F,2011-08,79,52.03
17129F,2011-09,4,6.52
17129F,2011-10,36,25.56
17129F,2011-11,1,1.63
17136A,2011-02,6,1.26
17136A,2011-03,24,1.92
17136A,2011-04,5,1.05
17136A,2011-05,48,3.84
17136A,2011-06,48,3.84
17136A,2011-07,24,1.92
17136A,2011-08,6,0.48
17136A,2011-09,134,10.719999999999999
17136A,2011-10,13,1.04
17136A,2011-11,96,7.68
17164B,2010-12,12,5.04
17164B,2011-01,17,7.140000000000001
17165D,2010-12,18,18.900000000000002
17165D,2011-01,9,9.450000000000001
17174,2011-01,1,0.42
17174,2011-11,8,3.3600000000000003
17191A,2011-11,2,7.5
17191A,2011-12,2,7.5
18007,2010-12,69,12.42
18007,2011-01,24,4.32
18007,2011-02,2439,151.02
18007,2011-03,24,4.32
18007,2011-04,24,4.32
18007,2011-05,46,8.28
18007,2011-06,24,4.32
18007,2011-07,3206,194.76
18094C,2010-12,13,16.25
18094C,2011-03,5,6.25
18094C,2011-04,30,27.9
18094C,2011-05,30,37.5
18094C,2011-06,3,3.75
18094C,2011-07,38,47.5
18094C,2011-09,12,10.2
18094C,2011-10,3,3.75
18097A,2010-12,1,2.55
18097A,2011-03,2,5.1
18097A,2011-06,2,5.1
18097C,2010-12,63,160.65
18097C,2011-01,66,139.5
18097C,2011-02,26,66.3
18097C,2011-03,58,147.89999999999998
18097C,2011-04,54,123.3
18097C,2011-05,297,584.5500000000001
18097C,2011-06,13,33.15
18097C,2011-07,9,22.95
18097C,2011-08,51,101.25
18097C,2011-09,2,5.1
18097C,2011-10,13,33.15
18097C,2011-11,21,53.55
18098C,2010-12,111,303.45
18098C,2011-01,48,136.8
18098C,2011-02,3,8.850000000000001
18098C,2011-03,13,38.35000000000001
18098C,2011-05,1,2.95
18098C,2011-06,1,2.95
18098C,2011-07,12,35.400000000000006
18098C,2011-08,4,11.8
20615,2010-12,5,10.5
20615,2011-01,4,8.4
20615,2011-02,13,27.300000000000004
20615,2011-03,13,27.300000000000004
20615,2011-04,1,2.1
20615,2011-05,1,2.1
20615,2011-06,4,3.0
20615,2011-07,46,34.5
20615,2011-08,46,34.5
20615,2011-09,2,1.5
20615,2011-10,25,22.13
